,comments,clean_comments,prediction
8155,Sehr enttäuschend. Die hab ich schon gesehen aber von der veganen Wurst keine Spur. Tierleidfrei bedeutet vegan und nicht vegetarisch!,sehr enttausch . schon geseh vegan wurst spur . tierleidfrei bedeutet vegan nicht vegetar !,1
8184,Omg ich raste aus... Hoffentlich gibt's die hier bald zu kaufen! Den neuen veganen Schinkenspicker gibt's auch noch nicht hier,omg rast ... hoffent gibt 's bald kauf ! neu vegan schinkenspick gibt 's nicht,1
8187,#rügenwaldermühle #ruegenwaldermuehle #rügenwalder #ruegenwalder #schinkenspicker #vegan #veganwerden #veganwerdenwaslosdigga #rügenwaldermühlevegetarisch #rügenwaldermühlevegan #veganerschinkenspicker #veganeraufschnitt #brotzeit #ohnefleisch #dontworrybeflexi #fürjedenwasdabei,# rugenwaldermuhl # ruegenwaldermuehl # rugenwald # ruegenwald # schinkenspick # vegan # veganwerd # veganwerdenwaslosdigga # rugenwaldermuhlevegetar # rugenwaldermuhlevegan # veganerschinkenspick # veganeraufschnitt # brotzeit # ohnefleisch # dontworrybeflexi # furjedenwasdabei,1
8191,ich liebe eure veganen produkte und bin treue kunding aber ein bisschen mehr auswahl an aufschnitt wäre super veganes mett oder schinken wäre auch mal ne idee liebe grüße,lieb vegan produkt treu kunding bissch mehr auswahl aufschnitt war sup vegan mett schink war ne ide lieb gruss,1
8194,Gibt’s bald auch mehr vegane Aufschnitte? 98 Wo.Gefällt 2 MalAntworten,gibt ’ s bald mehr vegan aufschnitt ? 98 wo.gefallt 2 malantwort,1
8201,"Bester veganer Schinken ever! Kein andere hat uns überzeugt, aber der hier schmeckt 1:1 wie ""Lyoner"", sogar besser :-O! Und gute Zutaten mit Protein auch noch.","best vegan schink ever ! uberzeugt , schmeckt 1:1 `` lyon '' , sogar bess : -o ! gut zutat protein .",1
8204,beste vegane Wurst,best vegan wurst,1
8208,"Einfach mega gut!!! Macht weiter so und zeigt, dass ""Wurst"" auch vegan schmeckt! ","einfach mega gut ! ! ! macht zeigt , `` wurst '' vegan schmeckt !",1
8209,"Mega mega lecker, warum sollte ich dann noch ne unvegane pikante Extrawurst (heißt so in Ö) essen, wenn die so mega geil schmeckt. Vor allem in Kombination mit nem leckeren Roggenbrot und veganem Käse.","mega mega leck , warum ne unvegan pikant extrawurst ( heisst o ) ess , mega geil schmeckt . kombination nem leck roggenbrot vegan kas .",1
8210,"Bester veganer Aufschnitt, den ich bisher hatte  Großes Kompliment an euch ","best vegan aufschnitt , bish gross kompliment",1
8212,"Ich finde die Wurst auch gut. Die Vegetarische schmeckt mir jedoch besser, da ist die Konsistenz auch besser. Dennoch muss ich sagen, dafür, dass sie vegan ist, ist sie die beste welche ich kenn.","find wurst gut . vegetar schmeckt jedoch bess , konsistenz bess . dennoch sag , dafur , vegan , best kenn .",1
8215,Ich liiiiiebe den veganen schickenspicker leider gibts beim edeka bei mir in der Arbeit nur den vegetarischen aber auch der ist super lecker. Ich wollte eigentlich auf „Ersatzprodukte“ zu Fleisch verzichten aber die vegane Wurst ist einfach lecker  weiter so,liiiiieb vegan schickenspick leid gibt beim edeka arbeit vegetar sup leck . eigent „ ersatzprodukt “ fleisch verzicht vegan wurst einfach leck,1
8224,"Die Wurst ist wahnsinnig toll  Ich bin so glücklich, eure tolle Veggie-Wurst wieder essen zu können, nachdem ich auf vegan umgestiegen bin. Die schmeckt sogar noch besser  Wenn noch mehr veganes von Euch kommt, wäre ich überglücklich ","wurst wahnsinn toll glucklich , toll veggie-wurst ess , nachd vegan umgestieg . schmeckt sogar bess mehr vegan kommt , war ubergluck",1
8225,"Hallo Liebes rügenwalder-mühle Team! Ich bin ein großer Fan eurer vegetarischen und veganen Produkte. Dennoch greife ich immer weniger zu euren Produkten, denn es gibt leider etwas, dass mich sehr stört: die Verpackung! Leider bestehen diese immer aus unfassbar viel Plastik. Wäre es nicht möglich, weniger oder plastikfrei zu verpacken? Oder zumindest größere packungseinheiten, um die produkt/Müll Rate zu verbessern? Oder diese Produkte an den normalen fleischtheken zu vertreiben? Liebe Grüße!","hallo lieb rugenwalder-muhl team ! gross fan vegetar vegan produkt . dennoch greif imm wenig produkt , gibt leid , sehr stort : verpack ! leid besteh imm unfassbar plastik . war nicht moglich , wenig plastikfrei verpack ? zumind gross packungsein , produkt/mull rat verbess ? produkt normal fleischthek vertreib ? lieb gruss !",1
8228,"Es ist einfach so geil. Als ich damals Vegetarier wurde kam die vegetarische Wurst raus, auf die ich dann irgendwann wegen dem vielen Ei verzichtet habe und nun esse ich komplett vegan und ihr bringt eine vegane Wurst raus  Mehr bitte!","einfach geil . damal vegetari wurd kam vegetar wurst raus , irgendwann weg viel ei verzichtet ess komplett vegan bringt vegan wurst raus mehr bitt !",1
