,comments,clean_comments,prediction
5753,"Ausgerollt wie eine Roulade, mit Basilikumblättern, getrocknete Tomaten und (veganen) Mozzarella gefüllt, PIZZA Kräuter drauf und zusammengeollt... Kurz anbraten und dann in Tomatensauce leicht köcheln... Bandnudeln dazu. Yummy","ausgerollt roulad , basilikumblatt , getrocknet tomat ( vegan ) mozzarella gefullt , pizza kraut drauf zusammengeollt ... kurz anbrat tomatensauc leicht kocheln ... bandnudeln . yummy",1
5757,Crispyburger  aber all eure veganen Produkte sind toll ,crispyburg all vegan produkt toll,1
5760,"Ich stehe so auf eure veganen Produkte, ich habe immer einen großen Stapel von dem veganen Schinkenspicker mit Grillgemüse im Kühlschrank - die Packungen dürften ruhig größer sein als 80g! Gerne auch in anderen veganen Sorten (Paprika, ohne Gemüse drin). Ich habe letztens euren Vegetarischen Fleischsalat probiert und OMG! Wie lecker! Wenn der nur vegan wäre! Und laut Zutaten sieht es so aus als wäre nur Ei in dem Wurstersatz, nicht in der Mayo? Dann müsste der doch auch vegan sehr lecker werden! Ihr habt doch schon die passenden Zutaten!  Ich hoffe / freue mich so auf weitere vegane Produkte für aufs Brot von euch!","steh vegan produkt , imm gross stapel vegan schinkenspick grillgemus kuhlschrank - packung durft ruhig gross 80g ! gern vegan sort ( paprika , gemus drin ) . letzt vegetar fleischsalat probiert omg ! leck ! vegan war ! laut zutat sieht war ei wurstersatz , nicht mayo ? musst vegan sehr leck ! habt schon passend zutat ! hoff / freu weit vegan produkt auf brot !",1
5763,#rügenwaldermühle #veggie #vegan #fleischauspflanzen #plantbased #souplover #rezeptinspiration,# rugenwaldermuhl # veggi # vegan # fleischauspflanz # plantbased # souplov # rezeptinspiration,1
5779,#rügenwaldermühle #veggie #vegan #fleischauspflanzen #plantbased #veganuary #veganuary2020,# rugenwaldermuhl # veggi # vegan # fleischauspflanz # plantbased # veganuary # veganuary2020,1
5780,Mehr Variation bei veganem Aufschnitt. Ihr habt ja nur einen Sorte bis jetzt..,mehr variation vegan aufschnitt . habt ja sort ..,1
5785,Das CordonBleu ist genial gut - warum bietet ihr den veganen Schinken nicht auch als Aufschnitt an????,cordonbleu genial gut - warum bietet vegan schink nicht aufschnitt ? ? ? ?,1
5787,Vegane Frikadellen und Würstchen. Noch etwas was wirklich fehlt: vegane Salami!,vegan frikadell wurstch . wirklich fehlt : vegan salami !,1
5804,Ich wünsche mir den veganen Schinkenspicker auf Erbsenbasis mit Schnittlauch ,wunsch vegan schinkenspick erbsenbasis schnittlauch,1
5809,Vegane Würstchen  Veganer Leberkäse  vegane Garnelen ,vegan wurstch vegan leberkas vegan garnel,1
5810,Generell macht ihr schon einen Super Job was die veganen Produkte angeht  Danke dafür ,generell macht schon sup job vegan produkt angeht dank dafur,1
5811,"Also vegane Leberwurst und Teewurst sind schonmal richtig beachtlich geworden, Hut ab für diese Rezeptur! Jetzt noch ein veganer fleischsalat und vielleicht noch ne Alternative beim Aufschnitt, dann gibts fast keine offenen Wünsche mehr :-)","vegan leberwurst teewurst schonmal richtig beachtlich geword , hut ab rezeptur ! vegan fleischsalat vielleicht ne alternativ beim aufschnitt , gibt fast off wunsch mehr : - )",1
5813,"Ja mehr veganen Aufschnitt  und gerne auch mehr auf Seitan-Basis für Leute, die kein Soja vertragen oder darauf verzichten wollen ","ja mehr vegan aufschnitt gern mehr seitan-basis leut , soja vertrag darauf verzicht",1
5814,"Bitte macht mehr vegane Produkte, vegetarisch hilft leider niemandem ","bitt macht mehr vegan produkt , vegetar hilft leid niemand",1
5817,"ich schaue nun seit ca. 2-3 wochen wie es ist, vegan zu leben. war sowieso nie die fleischesserin, aber wenn ich mal bock darauf habe bin ich so froh darüber, dass ihr jetzt auch vegane produkte herstellt!  danke dafür! ","schau seit ca . 2-3 woch , vegan leb . sowieso nie fleischesserin , bock darauf froh darub , vegan produkt herstellt ! dank dafur !",1
5821,"Es wäre toll, wenn ihr eure fleischfreien Wurstwaren, insbesondere Eure Salami, endlich veganisiert. ","war toll , fleischfrei wurstwar , insbesond salami , endlich veganisiert .",1
5823,Das alle eure veggie Produkte vegan werden ,veggi produkt vegan,1
5829,"Hier auch eine Stimme für grössere Portionen. Gerade beim Aufschnitt. Dieser Plastikmüll nervt tierisch. Ausserdem eine vegane Mortadella, ohne dieses Grillgemüse. Veganen Salami Aufschnitt. Und bitttteeeeeeee kauft euch mal mehr in die Schweiz ein. Echt traurig hier. Wenns mal was bei lidl von euch gibt ist es gleich ausverkauft!","stimm gross portion . gerad beim aufschnitt . plastikmull nervt tierisch . ausserd vegan mortadella , grillgemus . vegan salami aufschnitt . bitttteeeeeee kauft mehr schweiz . echt traurig . wenn lidl gibt gleich ausverkauft !",1
5835,Mehr vegane Aufschnittsorten.,mehr vegan aufschnittsort .,1
5839,Bitte stellt möglichst alles vegetarische auf vegan um! ,bitt stellt moglich vegetar vegan !,1
5847,ALLES vegan! Mega lecker alles ,vegan ! mega leck,1
5851,#rügenwaldermühle #veggie #vegan #fleischauspflanzen #plantbased #foodure #ökotest #testsieger,# rugenwaldermuhl # veggi # vegan # fleischauspflanz # plantbased # foodur # okot # testsieg,1
5859,"Ich liebe eure veganen und vegetarischen Produkte  gestern musste ich leider mit Entsetzen feststellen, dass ihr den Crispyburger nicht mehr in eurem Sortiment habt  das war eines eurer leckersten Produkte! Ich hoffe auf eine Neuauflage ","lieb vegan vegetar produkt gest leid entsetz feststell , crispyburg nicht mehr sortiment habt leckerst produkt ! hoff neuauflag",0
5879,Die veganen Nuggets von euch gestern probiert. Die waren fein ,vegan nugget gest probiert . fein,1
5880,"Ich würde so gerne so viel mehr vegane Produkte von euch kaufen! Leider sind sie nicht glutenfrei. Es gibt mittlerweile wirklich viele Leute, sie sich glutenfrei und vegan ernähren - auch einfach weil sie es müssen (glutenfrei), so wie ich. Es ist wirklich sehr einfach Weizen zu ersetzen. Vielleicht denkt ihr mal darüber nach  Beste Grüße","gern mehr vegan produkt kauf ! leid nicht glutenfrei . gibt mittlerweil wirklich viel leut , glutenfrei vegan ernahr - einfach muss ( glutenfrei ) , . wirklich sehr einfach weiz ersetz . vielleicht denkt darub best gruss",1
5881,Eure vegane Leberwurst ist der Hammer ,vegan leberwurst hamm,1
5886,"Ich verstehe an dieser Stelle den ganzen Wirbel auch nicht. Bin gerade dabei von vegetarisch auf vegan umzusteigen. Das mache ich ja nicht, weil mir tierische Produkte nicht schmecken, sondern etwas in meinen Augen Gutes zu tun. Umso besser dann, dass es Alternativen gibt, die einen auf bestimmte Geschmäcker nicht verzichten lassen müssen?","versteh stell ganz wirbel nicht . gerad dabei vegetar vegan umzusteig . mach ja nicht , tierisch produkt nicht schmeck , aug gut tun . umso bess , alternativ gibt , bestimmt geschmack nicht verzicht lass muss ?",0
5916,"Danke Muehle Team. Dass ihr auch den Fleischessern leckere Alternativen anbietet, und so dem ein oder anderen seinen Hüpf auf die andere Seite erleichtert. Danke für Euer eingehen auf die Wünsche der Verbraucher. Mir macht es ein gutes Gefühl, wie sich der Markt entwickelt. Danke. #friedlicherveganer <3","dank muehl team . fleischess leck alternativ anbietet , hupf seit erleichtert . dank eingeh wunsch verbrauch . macht gut gefuhl , markt entwickelt . dank . # friedlichervegan < 3",1
5921,Ich liebe eure veganen Produkte!! ,lieb vegan produkt ! !,1
5930,Ich liebe alle vegetarische/ vegane Produkte der Ruegenwälder Mühle,lieb vegetarische/ vegan produkt ruegenwald muhl,1
5936,"Gut gemacht, weiter so, die Zukunft ist vegan ","gut gemacht , , zukunft vegan",1
5943,Ich feier eure fleischlosen Produkte #govegan,feier fleischlos produkt # govegan,1
5944,Der #Veganuary ist in vollem Gange und die Community ist begeistert von unseren veganen Produkten.  Welche Alternative habt ihr diesen Monat am häufigsten verspeist? ,# veganuary voll gang community begeistert vegan produkt . alternativ habt monat haufig verspeist ?,1
5946,Bitte weiter so  Finde eure veganen Produkte sehr lecker ,bitt find vegan produkt sehr leck,1
5947,"Das vegane Steak Typ Rind habe ich letztens für Rouladen verwendet. So einfach, lecker und tierleidfrei. Wir waren begeistert. Danke für die mittlerweile zahlreichen veganen Optionen ","vegan steak typ rind letzt roulad verwendet . einfach , leck tierleidfrei . begeistert . dank mittlerweil zahlreich vegan option",1
5954,"Euer veganes ""Mühlen Hack"" ist super lecker",vegan `` muhl hack '' sup leck,1
5956,Habt ihr das vegane Mühlen Filet Typ Hähnchen aus dem Sortiment genommen?  finde es nirgendwo mehr..,habt vegan muhl filet typ hahnch sortiment genomm ? find nirgendwo mehr ..,1
5962,"Ich habe heute das vegane Schnitzel probiert und was soll ich sagen? Mit Abstand das beste, fleischlose Schnitzel das ich jemals gegessen habe. Wirklich klasse  80 Wo.Gefällt 1 MalAntworten","heut vegan schnitzel probiert sag ? abstand best , fleischlos schnitzel jemal gegess . wirklich klass 80 wo.gefallt 1 malantwort",1
5964,Wann kommt der vegan Bacon raus?,wann kommt vegan bacon raus ?,1
5965,"Ihr seid so super, meine Freundin und ich greifen sehr gerne zu euren Produkten. Gerne noch mehr vegane Sachen. Einiges kaufen wir auch in der vegetarischen Variante und hoffen, dass es bald vegan wird  macht weiter so~","seid sup , freundin greif sehr gern produkt . gern mehr vegan sach . kauf vegetar variant hoff , bald vegan macht so~",1
5968,"Ich finde es so toll, was ihr als Unternehmen umgesetzt habt die letzten Jahre! Ich bin ein treuer Fan eurer veganen Produkte! ","find toll , unternehm umgesetzt habt letzt jahr ! treu fan vegan produkt !",1
5974,Nur weil vegan... auch nicht gesund... Aroma Zusatzstoffe damit das Zeug so schmeckt wie es aussehen soll,vegan ... nicht gesund ... aroma zusatzstoff zeug schmeckt ausseh,0
5982,"Ich habe zum ersten Mal den veganen Schinkenspicker probiert, und bin begeistert!  Bitte weiter so!","erst vegan schinkenspick probiert , begeistert ! bitt !",1
5988,Die veganen Mühlenfilets Die wollen meine Männer min. einmal pro Woche! Ich brate sie knusprig mit Reispapier. Einfach super köstlich ,vegan muhlenfilet mann min . pro woch ! brat knusprig reispapi . einfach sup kostlich,1
5991,Eigentlich alle vegetarischen und veganen Produkte von der Rügenwälder Mühle. Vor allem das Schinkenspicker-Sortiment und das Cordon Bleu Seitdem esse ich nicht mehr so gerne Fleisch *stolz*,eigent vegetar vegan produkt rugenwald muhl . schinkenspicker-sortiment cordon bleu seitd ess nicht mehr gern fleisch * stolz *,1
6001,"Bisher habt ihr nur 1 vegane ""Wurst""-Sorte  wann kommen endlich mehr dazu ? Und Salami mit Pfefferrand ",bish habt 1 vegan `` wurst '' -sort wann komm endlich mehr ? salami pfefferrand,1
6002,"Ich fänd cool wenn alle Schinkenspicket-Sorten Vegan werden. Die mit Grillgemüse schmeckt genau wie die vegetarischen. Die Rezeptur kann man für Paprika und Schnittlauch ruhig übernehmen, finde ich. Hab bisher keine andere vegane Wurst aus Erbsenprotein gehabt, die so nah an echte kommt, wie von Rügenwalder","fand cool schinkenspicket-sort vegan . grillgemus schmeckt genau vegetar . rezeptur paprika schnittlauch ruhig ubernehm , find . bish vegan wurst erbsenprotein gehabt , nah echt kommt , rugenwald",1
6004,"Wenn ihr es doch nur schaffen würdet die Bouletten vegan zu machen! Die sind sowas von lecker, aber eben nicht vegan","schaff wurdet boulett vegan ! sowas leck , eben nicht vegan",1
6005,"Tolle Tipps gerade am Anfang kann es einem ziemlich viel vorkommen, aber mit der Zeit weiß man, was funktioniert und wonach man gucken kann. Kleine Niederlagen gehören auch dazu, zum Beispiel gelingt nicht jedes Rezept auf Anhieb, und mal überliest man eine unvegane Zutat- lasst euch davon nicht einschüchtern, macht weiter mit dem, was ihr richtig findet, und der Rest kommt. Vegan ist kein Zwang, sondern der Versuch, nach bestem Gewissen Tierleid zu vermeiden, also macht euch nicht irre","toll tipps gerad anfang ziemlich vorkomm , zeit weiss , funktioniert wonach guck . klein niederlag gehor , beispiel gelingt nicht rezept anhieb , uberli unvegan zutat- lasst davon nicht einschucht , macht , richtig findet , rest kommt . vegan zwang , versuch , best gewiss tierleid vermeid , macht nicht irr",1
6006,ich mag auch die Mühlen Schnitzel und die Nuggets.. beides ja auch vegan.. Heute habe ich aber das Geschnetzelte Typ Hähnchen entdeckt.. Das wird morgen gleich getestet.. aber ich bin guter Dinge.. ich liebe eure Produkte ,mag muhl schnitzel nugget .. beid ja vegan .. heut geschnetzelt typ hahnch entdeckt .. morg gleich getestet .. gut ding .. lieb produkt,1
6009,Sieben Jahre lang vermisste ich so sehr den Geschmack von Teewurst.. bis ich gestern eure vegane Teewurst probiert habe. Ein Traum ! ,sieb jahr lang vermisst sehr geschmack teewurst .. gest vegan teewurst probiert . traum !,1
6011,Dann seit wenigstens so fair und schmeißt euer gesamtes fleischsortiment raus und macht nur noch vegan und vegetarisch. Ansonsten könntet ihr auch die Currywurst wieder einführen,seit wenigst fair schmeisst gesamt fleischsortiment raus macht vegan vegetar . anson konntet currywurst einfuhr,1
6013,"Ich finde, dass die vegetarischen/ veganen Produkte von euch super sind, durch eine Freundin bin ich drauf gekommen  ich könnte mir eine vegetarische/ vegane Teewurst mit grünem Pfeffer auch sehr gut vorstellen, die ,,normale"" Variante ist nämlich auch super ","find , vegetarischen/ vegan produkt sup , freundin drauf gekomm vegetarische/ vegan teewurst grun pfeff sehr gut vorstell , , ,normal '' variant namlich sup",1
6014,"Das vegane geschnetzelte ist echt der Hammer!!! Danke, dass ihr so etwas macht","vegan geschnetzelt echt hamm ! ! ! dank , macht",1
6019,Wir versuchen immer mehr unseren Fleischkonsum durch alternativen zu ersetzen. Ich bin wahnsinnig fasziniert was ihr für tolle Produkte anbiete. Wie ferne würde ich mich einmal durch euer gesamtes veganes Angebot futtern  ich findest Hochachtungsvoll wieviel Mühe ihr euch für Forschung und Entwicklung gebt und dabei liebevoll immer mehr alternativen schafft. So schaffen es auch die einen Weg in die richtige Richtung zu gehen denen es schwer fällt auf Fleisch zu verzichten. Also ein Dank an euch und viel Gesundheit für das ganze Regenwalder Team ,versuch imm mehr fleischkonsum alternativ ersetz . wahnsinn fasziniert toll produkt anbiet . fern gesamt vegan angebot futt find hochachtungsvoll wieviel muh forschung entwickl gebt dabei liebevoll imm mehr alternativ schafft . schaff richtig richtung geh den schwer fallt fleisch verzicht . dank gesund ganz regenwald team,1
6027,Big fans here. All your vegan products are  amazing . Still waiting for the vegetarian ones to become vegan  ⏳,fan her . all your vegan product are amazing . still waiting for the vegetarian ones to becom vegan ⏳,1
6033,Die vegane Schinkenspicker nicht zu vergessen! ,vegan schinkenspick nicht vergess !,1
6043,Heutzutage ist der Einstieg leichter als je zuvor vor allem dank eueren verdammt leckeren veganen/vegetarischen Produkten Danke  danke fürs Augen öffnen ,heutzutag einstieg leicht je zuvor dank euer verdammt leck veganen/vegetar produkt dank dank fur aug offn,1
6044,"Ich liiebe eure veganen Produkte!! Und vielen dank dass ihr euch auch so viel um so tolle Rezepte bemüht die vegetarischen Produkte sind auch klasse, ich bin kein Veganer, achte nur darauf nicht zu viel tierische Produkte zu essen bei denen man es sowieso vermeiden kann. Also vielen dank für eure Hilfe","liieb vegan produkt ! ! viel dank toll rezept bemuht vegetar produkt klass , vegan , acht darauf nicht tierisch produkt ess den sowieso vermeid . viel dank hilf",1
6047,#rügenwaldermühle #veganuary2020 #neujahrsvorsatz #newyear #veggie #vegan #fleischauspflanzen #plantbased #foodure,# rugenwaldermuhl # veganuary2020 # neujahrsvorsatz # newyear # veggi # vegan # fleischauspflanz # plantbased # foodur,1
6051,"ruegenwaldermuehle: eure veganen Artikel sind mega lecker...mir hat auch der vegetarische Fleischsalat super geschmeckt, doch da ich jetzt vegan bin, fällt er leider weg. Wann gibts einen veganen?? ","ruegenwaldermuehl : vegan artikel mega leck ... vegetar fleischsalat sup geschmeckt , vegan , fallt leid . wann gibt vegan ? ?",1
6053,"Danke für eure veganen Produkte, die haben mir sehr geholfen von Fleisch und Wurst los zu kommen ","dank vegan produkt , sehr geholf fleisch wurst los komm",1
6057,"ich liebe die neue vegane teewurst von euch, damit funktioniert das gleich noch besser","lieb neu vegan teewurst , funktioniert gleich bess",1
6059,Was heißt denn dass ihr auch mitmacht? Endlich vegane Wienerle und Salami? Oder nur ein Aufruf dazu eure veganen Produkte zu kaufen? ,heisst mitmacht ? endlich vegan wienerl salami ? aufruf vegan produkt kauf ?,1
